Guide	Gene	ctrl_1	ctrl_2	ctrl_3	test_1	test_2	test_3
ZBTB43_-_129567362.23-P1P2_h5_Top5	ZBTB43	2472	4039	2304	1866	2731	517
UTP14A_+_129040149.23-P1P2_h5_Top5	UTP14A	4	0	0	0	12	5
SNAPC5_-_66789683.23-P1P2_h5_Top5	SNAPC5	2264	3470	1896	1767	2105	669
SETD8_-_123868755.23-P2_h5_Top5	SETD8	50	177	39	69	101	23
HAND2_-_174449633.23-P2_h5_Top5	HAND2	829	1552	684	573	1030	191
ZNF208_-_22193725.23-P1P2_h5_Top5	ZNF208	1811	2050	1184	869	1414	275
MKI67IP_+_122494437.23-P1P2_h5_Top5	MKI67IP	140	213	71	129	144	32
ADNP_-_49547603.23-P1P2_h5_Top5	ADNP	3080	4306	2481	1993	3141	702
HOXB8_-_46692113.23-P2_h5_Top5	HOXB8	1788	2011	1232	1025	1350	386
ZNF528_+_52901592.23-P1P2_h5_Top5	ZNF528	617	990	596	472	780	216
ZC3H11A_+_203765219.23-P1P2_h5_Top5	ZC3H11A	800	1165	626	414	876	141
CSTF2_+_100075568.23-P1P2_h5_Top5	CSTF2	237	573	228	296	314	36
SLC29A2_-_66139212.23-P1P2_h5_Top5	SLC29A2	1302	1423	1004	787	1240	291
SATB1_+_18485937.23-P2_h5_Top5	SATB1	2579	3826	2173	1704	2250	539
TRIP4_-_64680028.23-P1P2_h5_Top5	TRIP4	2331	2461	1514	1556	2231	571
DEPDC4_-_100660794.23-P1P2_h5_Top5	DEPDC4	881	803	638	539	757	202
ZNF845_+_53837082.23-P1P2_h5_Supp5	ZNF845	0	0	3	0	0	0
FOXP1_-_71293840.23-ENST00000498215.1_h5_Top5	FOXP1	1099	911	863	682	793	273
SALL2_-_21994394.23-P1P2_h5_Top5	SALL2	1297	1815	1162	1223	1520	420
LHX3_+_139096939.23-P2_h5_Top5	LHX3	2713	4065	2312	1957	2736	729
SRXN1_+_633800.23-P1P2_h5_Top5	SRXN1	1801	2976	1266	1240	1685	366
SALL1_+_51185140.23-P1P2_h5_Top5	SALL1	2344	2990	1899	1499	2368	583
ZSCAN10_+_3148892.23-P1P2_h5_Top5	ZSCAN10	2810	3996	2133	2029	2463	615
FAM170A_-_118965311.23-P1P2_h5_Top5	FAM170A	599	1013	625	373	509	215
NFIL3_-_94185747.23-P1P2_h5_Top5	NFIL3	1074	1624	766	670	932	275
ZIC4_+_147123946.23-P2_h5_Top5	ZIC4	850	1063	659	589	784	211
KLF1_+_12997993.23-P1P2_h5_Top5	KLF1	3523	4553	2641	2427	3261	796
ZNF585A_+_37663477.23-P1P2_h5_Top5	ZNF585A	1083	1189	932	729	865	260
FOXN2_+_48541903.23-P1P2_h5_Top5	FOXN2	1327	1545	1168	1023	1191	365
SALL3_+_76740578.23-P1P2_h5_Top5	SALL3	1214	1754	961	798	1110	218
CIRBP_-_1269409.23-P1P2_h5_Top5	CIRBP	4151	6135	3283	2901	3952	968
PAK1IP1_-_10695227.23-P1P2_h5_Top5	PAK1IP1	54	317	129	29	153	13
DMRTC2_+_42349214.23-P1P2_h5_Top5	DMRTC2	884	1096	591	440	712	265
RWDD1_-_116892727.23-P1P2_h5_Top5	RWDD1	1248	1957	1215	991	1439	390
SFSWAP_+_132195624.23-P1P2_h5_Top5	SFSWAP	766	1454	724	562	935	246
CC2D1A_+_14017463.23-P1P2_h5_Top5	CC2D1A	2442	3474	1877	1747	2003	669
ELAVL4_+_50575954.23-P1P2_h5_Top5	ELAVL4	847	944	603	666	693	195
ZNF287_-_16472480.23-P1P2_h5_Top5	ZNF287	2752	3465	2022	1608	2792	704
ZNF500_-_4816701.23-P1P2_h5_Top5	ZNF500	636	969	532	420	585	157
non-targeting_01117_h5_Top5	non-targeting	2870	5013	2891	2198	3706	828
TIPARP_+_156392622.23-P1P2_h5_Top5	TIPARP	3705	5198	2899	2627	3601	833
NFAT5_-_69599883.23-P1P2_h5_Top5	NFAT5	820	753	542	631	533	195
CDX4_+_72666886.23-P1P2_h5_Top5	CDX4	891	1402	517	690	852	207
ZNF699_-_9420262.23-ENST00000591998.1_h5_Top5	ZNF699	2323	3002	1587	1416	2222	554
RBMS3_+_29322876.23-P1P2_h5_Top5	RBMS3	3251	5006	2719	1880	3114	741
ZNF69_+_11998638.23-P1P2_h5_Top5	ZNF69	3371	4750	2333	2311	3095	724
PRM2_+_11370044.23-P1P2_h5_Top5	PRM2	2189	3282	1921	1618	2172	568
ZNF644_+_91487555.23-P1P2_h5_Top5	ZNF644	2469	4187	2116	1929	2927	691
HOXA5_+_27183074.23-P1P2_h5_Top5	HOXA5	1568	1791	1112	1130	1463	440
AGGF1_-_76326671.23-P1P2_h5_Top5	AGGF1	1515	2468	1393	1145	1864	364
ZNF543_-_57831934.23-P1P2_h5_Top5	ZNF543	1783	2326	1610	1414	1939	410
HKR1_+_37825979.23-P2_h5_Top5	HKR1	2191	3515	1815	1434	2269	553
ZMAT2_-_140080468.23-P1_h5_Top5	ZMAT2	530	921	427	478	695	153
RBMS1_-_161350346.23-P1P2_h5_Top5	RBMS1	1648	2353	1436	1189	1685	392
FUBP3_-_133454994.23-P1P2_h5_Top5	FUBP3	2079	2951	1647	1204	1678	512
ZNF219_+_21566230.23-P1P2_h5_Top5	ZNF219	1137	1194	847	905	1006	310
TCF4_+_53255402.23-P1P2_h5_Top5	TCF4	2405	3299	1807	1868	2410	592
ANKRA2_-_72861012.23-P1P2_h5_Top5	ANKRA2	1601	2310	1281	1141	1473	361
ARID2_-_46123742.23-P1P2_h5_Top5	ARID2	2698	3948	1985	1988	2926	675
ZNF23_-_71496040.23-P1_h5_Top5	ZNF23	4524	6458	3535	3139	4391	1158
SNRNP35_-_123942744.23-P1P2_h5_Top5	SNRNP35	12	10	32	15	18	3
BSX_+_122852089.23-P1P2_h5_Top5	BSX	2668	3800	2045	1621	2547	583
HELZ2_+_62205398.23-P1_h5_Top5	HELZ2	2285	4083	1651	1495	2300	501
non-targeting_01119_h5_Top5	non-targeting	3180	4748	3030	2283	3431	887
ZNF417_-_58427755.23-P1P2_h5_Supp5	ZNF417	0	0	0	1	1	1
ZXDB_+_57619186.23-P1P2_h5_Top5	ZXDB	977	1524	801	534	879	247
TAF1C_+_84220631.23-P1P2_h5_Top5	TAF1C	336	258	240	123	247	50
PLXNA3_-_153695241.23-P2_h5_Top5	PLXNA3	1739	2172	1227	1311	1515	429
RWDD4_-_184579975.23-P1P2_h5_Top5	RWDD4	1459	1939	966	908	1676	380
TARSL2_+_102264225.23-P1P2_h5_Top5	TARSL2	3910	5762	3150	2901	3980	964
RFXAP_+_37393433.23-P1P2_h5_Top5	RFXAP	999	1534	1016	734	1136	287
REM2_-_23352529.23-P1P2_h5_Top5	REM2	1479	1728	955	1109	1282	334
EYA3_-_28415116.23-P1P2_h5_Top5	EYA3	1426	1818	763	844	1231	289
IRF7_+_615511.23-P1P2_h5_Top5	IRF7	3528	5701	3090	2243	3869	829
KDM4A_-_44115826.23-P1P2_h5_Top5	KDM4A	1394	1834	1249	1126	1323	355
HES3_-_6304301.23-P1P2_h5_Top5	HES3	974	1577	807	597	1071	211
TRMT61A_-_103995623.23-P1P2_h5_Top5	TRMT61A	540	817	362	554	563	142
ZNF366_+_71803013.23-P1P2_h5_Top5	ZNF366	2288	3503	1771	1729	2698	467
DHX57_-_39102715.23-P1P2_h5_Top5	DHX57	1078	1766	995	853	1219	245
AGO1_-_36349053.23-P1P2_h5_Top5	AGO1	601	752	556	589	737	249
CEACAM16_-_45202663.23-ENST00000587331.1_h5_Top5	CEACAM16	1709	2255	1179	1677	2023	496
DPH2_+_44435722.23-P1P2_h5_Top5	DPH2	730	877	651	549	687	227
RBFOX2_-_36424812.23-P1_h5_Top5	RBFOX2	2264	3543	1867	1274	1879	499
WNT9B_-_44928985.23-P1_h5_Top5	WNT9B	2210	2750	1561	1498	2009	434
CIRH1A_-_69166585.23-P1P2_h5_Top5	CIRH1A	90	99	74	89	117	20
TRPC3_-_122872645.23-P1P2_h5_Top5	TRPC3	79	298	214	51	190	42
ZNF835_-_57183060.23-P1P2_h5_Top5	ZNF835	4541	5985	3673	3251	4287	1054
LARP7_-_113558337.23-P1P2_h5_Top5	LARP7	1055	990	613	623	886	166
ORC6_-_46723591.23-P1P2_h5_Top5	ORC6	1229	2171	1055	878	1254	240
LHX8_+_75602152.23-P1P2_h5_Top5	LHX8	4969	6537	3830	3227	4972	1107
NFKBIZ_-_101546827.23-P2_h5_Top5	NFKBIZ	1783	2612	1524	1086	1743	446
ZNF207_+_30687777.23-P2_h5_Top5	ZNF207	2812	3365	2117	1705	2017	582
MEF2D_+_156470540.23-P1P2_h5_Top5	MEF2D	694	967	368	449	493	140
ACD_+_67693748.23-P1P2_h5_Top5	ACD	3505	3523	2912	2025	2756	740
non-targeting_01080_h5_Top5	non-targeting	1077	1921	867	709	1272	263
ZNF714_-_21265510.23-P1P2_h5_Top5	ZNF714	874	1113	882	576	733	229
ZNF718_+_155274.23-ENST00000400172.3_h5_Top5	ZNF718	1719	2563	1081	1068	1510	324
BASP1_+_17217799.23-P1P2_h5_Top5	BASP1	1668	2442	1328	1079	2021	467
ZFP57_-_29648437.23-P1P2_h5_Top5	ZFP57	2512	3377	1965	1630	2154	620
ZNF804A_-_185463532.23-P1P2_h5_Top5	ZNF804A	2291	3227	1895	1455	1982	465
ZNF174_+_3451316.23-P1P2_h5_Top5	ZNF174	1984	3271	1643	1500	2394	442
BAZ2A_+_57024085.23-P1_h5_Top5	BAZ2A	2414	3991	2028	1656	2427	603
LARP6_-_71146024.23-P1P2_h5_Top5	LARP6	3301	4690	2704	1739	3386	759
ZNF219_+_21566103.23-P1P2_h5_Top5	ZNF219	2789	4285	2211	2195	3313	771
TNS4_-_38657856.23-P1P2_h5_Top5	TNS4	1431	1641	826	906	1255	310
